id	FindSpot	Place	AdminDivision	Material	Mint	Mint2	Period	Denomination	Denomination2	FindCategory	CoinImage	CoinImage2	DateFrom	DateTo	DateWritten	MintMark	Countermark	Weight	DieAxis	Status	CoinType	Coin_Quantity	ObverseDescription	ReverseDescription	ObverseLegend	ReverseLegend																																																																																																																																																
6	4360	2315	HU_11_3038	NULL	20	NULL	NULL	105	NULL	NULL	NULL	NULL	367	375		TRPS.		3.92	12	NULL	NULL	1				VIRTVS EXERCITVS																																																																																																																																																
7	4360	2315	HU_11_3038	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	138	161				2.18	6	NULL	NULL	1		oltárnál áldozó cornucopiás nőalak																																																																																																																																																		
9	3848	2312	HU_14_497	NULL	57	NULL	NULL	16	NULL	NULL	NULL	NULL	280	282		E / - // PXXI		3.98	5	NULL	NULL	1																																																																																																																																																				
10	3848	2312	HU_14_497	NULL	69	NULL	NULL	16	NULL	NULL	NULL	NULL	274	274	274 nyara	S // XXIS		2.99	12	NULL	NULL	1				CONCORDIA MILITVM																																																																																																																																																
11	3848	2312	HU_14_497	bronze	222	NULL	NULL	25	NULL	NULL	NULL	NULL	NULL	NULL				6.26	NULL	NULL	NULL	1																																																																																																																																																				
12	3848	2312	HU_14_497	NULL	50	NULL	NULL	16	NULL	NULL	NULL	NULL	260	268		//SI		2.39	6	NULL	NULL	1		centaur																																																																																																																																																		
13	3848	2312	HU_14_497	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	330	336				2.04	NULL	NULL	10	1																																																																																																																																																				
14	3848	2312	HU_14_497	NULL	NULL	NULL	NULL	53	NULL	NULL	NULL	NULL	348	358				3.23	NULL	NULL	5	1																																																																																																																																																				
15	3848	2312	HU_14_497	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		ASISC		1.88	12	NULL	19	1																																																																																																																																																				
16	3848	2312	HU_14_497	bronze	50	NULL	NULL	19	NULL	NULL	NULL	NULL	202	210				1.64	6	imitation	NULL	1																																																																																																																																																				
17	3848	2312	HU_14_497	bronze	69	NULL	NULL	54	NULL	NULL	NULL	NULL	320	321		ASIS×		2.49	1	imitation	NULL	1																																																																																																																																																				
18	3848	2312	HU_14_497	NULL	50	NULL	NULL	19	NULL	NULL	16	NULL	141	161				2.68	7	NULL	NULL	1																																																																																																																																																				
19	3848	2312	HU_14_497	NULL	50	NULL	NULL	16	NULL	NULL	NULL	NULL	257	258				1.94	6	NULL	NULL	1		Juno Regina																																																																																																																																																		
20	3834	2314	HU_14_1073	NULL	91	NULL	3	16	NULL	NULL	NULL	NULL	247	249				3.65	5	NULL	NULL	1		Aequitas																																																																																																																																																		
21	3834	2314	HU_14_1073	bronze	NULL	NULL	3	56	NULL	NULL	NULL	NULL	342	348				1.39	6	NULL	25	1																																																																																																																																																				
22	3834	2314	HU_14_1073	NULL	NULL	NULL	3	16	NULL	NULL	192	NULL	253	260				2.16	12	NULL	NULL	1		Juno																																																																																																																																																		
23	3833	2314	HU_14_1073	bronze	50	NULL	3	19	NULL	NULL	NULL	NULL	119	120				1.67	7	imitation	NULL	1		Aeternitas																																																																																																																																																		
24	3833	2314	HU_14_1073	bronze	57	NULL	3	54	NULL	NULL	NULL	NULL	320	321		S T		2.95	12	NULL	NULL	1				VOT XX																																																																																																																																																
25	3833	2314	HU_14_1073	bronze	80	NULL	3	54	NULL	NULL	NULL	NULL	330	337				1.84	6	NULL	24	1	CP																																																																																																																																																			
26	3833	2314	HU_14_1073	bronze	NULL	NULL	3	16	NULL	NULL	NULL	NULL	NULL	NULL				2.61	NULL	NULL	NULL	1																																																																																																																																																				
27	3833	2314	HU_14_1073	bronze	76	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.26	NULL	NULL	13	1																																																																																																																																																				
28	3833	2314	HU_14_1073	bronze	NULL	NULL	3	56	NULL	NULL	NULL	NULL	342	348				1.48	12	NULL	25	1																																																																																																																																																				
29	3833	2314	HU_14_1073	NULL	NULL	NULL	3	54	NULL	NULL	NULL	NULL	NULL	NULL				0.99	NULL	NULL	NULL	1																																																																																																																																																				
30	3844	2301	HU_03_2387	NULL	NULL	NULL	3	56	NULL	3	NULL	NULL	347	348				1.06	6	NULL	NULL	1				VN - MR																																																																																																																																																
31	3844	2301	HU_03_2387	NULL	NULL	NULL	3	54	NULL	NULL	NULL	NULL	364	375				2.11	1	NULL	19	1																																																																																																																																																				
32	3844	2301	HU_03_2387	NULL	69	NULL	3	56	NULL	NULL	NULL	NULL	337	342		A		1.7	6	NULL	10	1																																																																																																																																																				
33	3844	2301	HU_03_2387	NULL	NULL	NULL	3	56	NULL	NULL	NULL	NULL	NULL	NULL				1.07	NULL	NULL	NULL	1																																																																																																																																																				
34	3844	2301	HU_03_2387	NULL	50	NULL	3	19	NULL	NULL	NULL	NULL	129	130				3.17	6	NULL	NULL	1																																																																																																																																																				
35	3844	2301	HU_03_2387	NULL	76	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.37	5	NULL	13	1																																																																																																																																																				
36	3844	2301	HU_03_2387	NULL	69	NULL	3	54	NULL	NULL	NULL	NULL	364	367				2.64	6	NULL	13	1																																																																																																																																																				
37	3844	2301	HU_03_2387	NULL	69	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.4	7	NULL	19	1																																																																																																																																																				
38	3844	2301	HU_03_2387	NULL	50	NULL	NULL	54	NULL	NULL	NULL	NULL	364	375				2.12	6	NULL	NULL	1																																																																																																																																																				
39	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	NULL	NULL				1.55	NULL	NULL	NULL	1																																																																																																																																																				
40	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	337	342				1.19	12	NULL	10	1																																																																																																																																																				
41	3844	2301	HU_03_2387	NULL	76	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.58	6	NULL	13	1																																																																																																																																																				
42	3844	2301	HU_03_2387	bronze	50	NULL	3	19	NULL	NULL	NULL	NULL	181	182				1.67	6	imitation	NULL	1		Providentia																																																																																																																																																		
43	3844	2301	HU_03_2387	NULL	NULL	NULL	3	54	NULL	NULL	NULL	NULL	364	375				1.53	12	NULL	19	1																																																																																																																																																				
44	3844	2301	HU_03_2387	NULL	58	NULL	3	54	NULL	NULL	NULL	NULL	364	367				2.27	12	NULL	19	1																																																																																																																																																				
45	3844	2301	HU_03_2387	bronze	NULL	NULL	3	56	NULL	NULL	NULL	NULL	NULL	NULL				1.87	NULL	NULL	NULL	1																																																																																																																																																				
46	3844	2301	HU_03_2387	NULL	69	NULL	3	54	NULL	NULL	NULL	NULL	367	375				2.2	7	NULL	13	1																																																																																																																																																				
47	3844	2301	HU_03_2387	NULL	76	NULL	3	56	NULL	NULL	NULL	NULL	342	348		E		0.97	6	NULL	25	1																																																																																																																																																				
48	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	361	363				2.95	12	NULL	NULL	1				VOT X MVLT XX																																																																																																																																																
49	3844	2301	HU_03_2387	NULL	25	NULL	NULL	16	NULL	NULL	45	NULL	258	260				1.77	4	NULL	NULL	1				CONSECRATIO																																																																																																																																																
50	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	183	183				1.42	6	NULL	NULL	1		Roma																																																																																																																																																		
51	3844	2301	HU_03_2387	NULL	76	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		*?		2.19	12	NULL	13	1																																																																																																																																																				
52	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	168	170				2.68	7	imitation	NULL	1																																																																																																																																																				
53	3844	2301	HU_03_2387	NULL	86	NULL	NULL	54	NULL	NULL	NULL	NULL	408	423				1.91	6	NULL	13	1		2 császár																																																																																																																																																		
54	3844	2301	HU_03_2387	NULL	NULL	NULL	3	19	NULL	NULL	NULL	NULL	NULL	NULL				1.61	NULL	NULL	NULL	1																																																																																																																																																				
56	3844	2301	HU_03_2387	NULL	NULL	NULL	3	56	NULL	NULL	NULL	NULL	336	342				0.75	6	NULL	10	1																																																																																																																																																				
57	3844	2301	HU_03_2387	NULL	80	NULL	NULL	56	NULL	NULL	NULL	NULL	347	348		?		1.28	6	NULL	NULL	1																																																																																																																																																				
58	3844	2301	HU_03_2387	bronze	NULL	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL				1.87	6	imitation	NULL	1		Liberalitas?																																																																																																																																																		
59	3844	2301	HU_03_2387	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				3.23	12	NULL	NULL	1																																																																																																																																																				
61	3844	2301	HU_03_2387	NULL	79	NULL	NULL	56	NULL	NULL	NULL	NULL	347	348				0.44	12	NULL	NULL	1				VOT XX MVLT XXX																																																																																																																																																
62	3844	2301	HU_03_2387	NULL	58	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348		P		1.32	12	NULL	NULL	1																																																																																																																																																				
63	3844	2301	HU_03_2387	NULL	39	NULL	NULL	56	NULL	NULL	NULL	NULL	NULL	NULL				0.8	3	NULL	NULL	1																																																																																																																																																				
64	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	364	378				1.15	6	NULL	19	1																																																																																																																																																				
65	3844	2301	HU_03_2387	NULL	69	NULL	NULL	56	NULL	NULL	NULL	NULL	342	348		?		1.31	12	NULL	NULL	1																																																																																																																																																				
66	3844	2301	HU_03_2387	NULL	79	NULL	NULL	56	NULL	NULL	NULL	NULL	337	340				1.75	11	NULL	17	1																																																																																																																																																				
67	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1																																																																																																																																																				
68	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	364	378			D	1.88	12	NULL	19	1																																																																																																																																																				
69	3844	2301	HU_03_2387	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	357	360				1.51	6	NULL	NULL	1				SPES REIPVBLICE																																																																																																																																																
70	3844	2301	HU_03_2387	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	383	387				2.05	12	NULL	13	1																																																																																																																																																				
71	3844	2301	HU_03_2387	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	164	180				2.16	7	NULL	NULL	1		Venus																																																																																																																																																		
