id,Name_de,Name_en,Name,Shortcut,Description,Latitude,Longitude,Nomisma,Gnd
1,NULL,Bilbilis,NULL,Bil,NULL,NULL,NULL,bilbilis,NULL
2,NULL,Calagurris,NULL,Calagurris,NULL,NULL,NULL,calagurris_julia,NULL
3,NULL,Caulonia,NULL,Cau,NULL,NULL,NULL,caulonia,NULL
4,NULL,Celsa,NULL,Cel,NULL,NULL,NULL,celsa,NULL
5,NULL,Osca,NULL,Osc,NULL,NULL,NULL,osca,NULL
6,NULL,Emporion,NULL,Emp,NULL,NULL,NULL,emporiae,NULL
7,NULL,Emerita,NULL,Emr,NULL,NULL,NULL,emerita,NULL
10,NULL,Tarraco,NULL,Tar,NULL,NULL,NULL,tarraco,NULL
12,NULL,Turiaso,NULL,Tur,NULL,NULL,NULL,turiaso,NULL
13,NULL,Hispania,NULL,Hisp,NULL,NULL,NULL,NULL,NULL
15,NULL,Camulodunum,NULL,Cam,NULL,NULL,NULL,camulodunum,NULL
16,NULL,Londinium,NULL,Lon,NULL,NULL,NULL,londinium,NULL
17,NULL,Ambianum,NULL,Amb,NULL,NULL,NULL,ambianum,NULL
18,NULL,"Colonia CAA",NULL,Col,NULL,NULL,NULL,colonia_claudia_ara_agrippinensium,NULL
20,NULL,Treveri,NULL,Tre,NULL,NULL,NULL,treveri,NULL
25,NULL,Lugdunum,NULL,Lug,NULL,NULL,NULL,lugdunum,NULL
30,NULL,Vienna,NULL,Vie,NULL,NULL,NULL,NULL,NULL
33,NULL,Arausio,NULL,Ara,NULL,NULL,NULL,NULL,NULL
34,NULL,Narbo,NULL,Nar,NULL,NULL,NULL,narbo,NULL
35,NULL,Nemausus,NULL,Nem,NULL,NULL,NULL,nemausus,NULL
39,NULL,Arelate,NULL,Arl,NULL,NULL,NULL,arelate,NULL
45,,Gallia,NULL,Gall,,NULL,NULL,,
48,NULL,Mediolanum,NULL,Med,NULL,NULL,NULL,mediolanum,NULL
50,NULL,Roma,NULL,Rom,NULL,NULL,NULL,rome,NULL
56,NULL,Ostia,NULL,Ost,NULL,NULL,NULL,ostia,NULL
57,NULL,Ticinum,NULL,Tic,NULL,NULL,NULL,ticinum,NULL
58,NULL,Aquileia,NULL,Aqu,NULL,NULL,NULL,aquileia,NULL
62,NULL,Italia,NULL,Ital,NULL,NULL,NULL,NULL,NULL
64,NULL,Sicilia,NULL,Sici,NULL,NULL,NULL,NULL,NULL
66,NULL,Sardinia,NULL,Sard,NULL,NULL,NULL,NULL,NULL
67,NULL,Carthago,NULL,Kar,NULL,NULL,NULL,carthage,NULL
68,NULL,Africa,NULL,Afri,NULL,NULL,NULL,NULL,NULL
69,NULL,Siscia,NULL,Sis,NULL,NULL,NULL,siscia,NULL
74,NULL,Sirmium,NULL,Sir,NULL,NULL,NULL,sirmium,NULL
75,NULL,Pautalia,NULL,Pau,NULL,NULL,NULL,pautalia,NULL
76,NULL,Thessalonica,NULL,The,NULL,NULL,NULL,thessalonica,NULL
79,,Heracleia,NULL,Her,,NULL,NULL,heracleia_thracica,
80,NULL,Constantinopolis,NULL,Con,NULL,NULL,NULL,constantinople,NULL
83,NULL,Nicomedia,NULL,Nio,NULL,NULL,NULL,nicomedia,NULL
86,NULL,Cyzicus,NULL,Kyz,NULL,NULL,NULL,cyzicus,NULL
89,,Asia,NULL,Asia,,NULL,NULL,,
91,NULL,Antiochia,NULL,Ant,NULL,NULL,NULL,antiocheia_syria,NULL
