id,Name,Description,Latitude,Longitude,Geonamesid,AdminDivision,AdminDivisionNameLong,Region,RomanProvince,Rhineside
2301,Szarvas,,46.8666700,20.5500000,NULL,HU_03_2387,Szarvas,NULL,NULL,NULL
2302,Alattyán,,47.4270500,20.0421900,NULL,HU_11_2526,Alattyán,NULL,NULL,NULL
2303,Fegyvernek,,47.2666700,20.5333300,NULL,HU_11_1664,Fegyvernek,NULL,NULL,NULL
2304,Jászágó,,47.5931500,19.8559100,NULL,HU_11_2292,Jászágó,NULL,NULL,NULL
2305,Jászalsószentgyörgy,,47.3666700,20.1000000,NULL,HU_11_3071,Jászalsószentgyörgy,NULL,NULL,NULL
2306,Jászárokszállás,,47.6423800,19.9803800,NULL,HU_11_2210,Jászárokszállás,NULL,NULL,NULL
2307,Szegvár,,46.5874000,20.2240800,NULL,HU_06_3248,Szegvár,NULL,NULL,NULL
2308,Szentes,,46.6583400,20.2608000,NULL,HU_06_1445,Szentes,NULL,NULL,NULL
2309,Csanytelek,,46.5950100,20.1234200,NULL,HU_06_2229,Csanytelek,NULL,NULL,NULL
2310,Nagymágocs,,46.5833300,20.5000000,NULL,HU_06_1723,Nagymágocs,NULL,NULL,NULL
2311,Nagybörzsöny,,47.9346600,18.8238100,NULL,HU_14_1477,Nagybörzsöny,NULL,NULL,NULL
2312,Ipolytölgyes,,47.9241100,18.7858500,NULL,HU_14_497,Ipolytölgyes,NULL,NULL,NULL
2313,Vác,,47.7759100,19.1361200,NULL,HU_14_2493,Vác,NULL,NULL,NULL
2314,Vámosmikola,,47.9559100,18.7831800,NULL,HU_14_1073,Vámosmikola,NULL,NULL,NULL
2315,Tiszakürt,,46.8850900,20.1254500,NULL,HU_11_3038,Tiszakürt,NULL,NULL,NULL
2316,Madaras,,47.1000000,19.4833300,NULL,HU_01_2335,Madaras,NULL,NULL,NULL
2317,Hajdúnánás,,47.8500000,21.4333300,NULL,HU_09_2240,Hajdúnánás,NULL,NULL,NULL
2318,Berzék,,48.0166700,20.9500000,NULL,HU_04_2635,Berzék,NULL,NULL,NULL
2319,Gelej,,47.8333300,20.7833300,NULL,HU_04_2371,Gelej,NULL,NULL,NULL
2320,Görömbölytapolca,"Miskolctapolca régi neve",48.0666700,20.7500000,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2321,Hejőcsaba,,48.0666700,20.8000000,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2322,Hejőkeresztúr,,47.9666700,20.8833300,NULL,HU_04_460,Hejőkeresztúr,NULL,NULL,NULL
2323,Hejőpapi,,47.9000000,20.9166700,NULL,HU_04_1383,Mezőcsát,NULL,NULL,NULL
2324,Mezőnyék,,47.9833300,20.8333300,NULL,HU_04_1288,Nyékládháza,NULL,NULL,NULL
2325,Miskolc,,48.1030600,20.7780600,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2326,Muhi,,47.9833300,20.9333300,NULL,HU_04_215,Muhi,NULL,NULL,NULL
2327,Kazincbarcika,Sajókazinc,48.2500000,20.6333300,NULL,HU_04_669,Kazincbarcika,NULL,NULL,NULL
2328,Sajókeresztúr,,48.1666700,20.7833300,NULL,HU_04_2694,Sajókeresztúr,NULL,NULL,NULL
2329,Szendrőlád,,48.3500000,20.7500000,NULL,HU_04_1072,Edelény,NULL,NULL,NULL
2330,Szirma,,48.0666700,20.8333300,NULL,HU_04_3045,Miskolc,NULL,NULL,NULL
2331,Tiszakeszi,,47.7833300,21.0000000,NULL,HU_04_1388,Tiszakeszi,NULL,NULL,NULL
2332,Tiszatarján,,47.8333300,21.0166700,NULL,HU_04_3037,Tiszatarján,NULL,NULL,NULL
2333,Sóshartyán,,48.0731400,19.6791400,NULL,HU_13_1488,Sóshartyán,NULL,NULL,NULL
2334,Mezőszemere,,47.7500000,20.5333300,NULL,HU_10_327,Füzesabony,NULL,NULL,NULL
2335,Nagyút,,47.7166700,20.1666700,NULL,HU_10_1041,Nagyút,NULL,NULL,NULL
2336,Hajdúdorog,,47.8166700,21.5000000,NULL,HU_09_1280,Hajdúdorog,NULL,NULL,NULL
2337,Szihalom,,47.7666700,20.4833300,NULL,HU_10_1101,Szihalom,NULL,NULL,NULL
2338,Kompolt,,47.7422200,20.2419200,NULL,HU_10_2399,Kompolt,NULL,NULL,NULL
2341,Körösszakál,,47.0114000,21.3540000,NULL,HU_09_1278,Berettyóújfalu,NULL,NULL,NULL
2342,Nyíregyháza,,47.9553900,21.7167100,NULL,HU_16_1720,Nyíregyháza,NULL,NULL,NULL
2343,Jászberény,,47.5000000,19.9166700,NULL,HU_11_1820,Jászberény,NULL,NULL,NULL
2344,Jászboldogháza,,47.3676200,19.9961000,NULL,HU_11_1581,Jászboldogháza,NULL,NULL,NULL
2345,Jászdózsa,,47.5661000,20.0153400,NULL,HU_11_1797,Jászdózsa,NULL,NULL,NULL
2347,Jászfényszaru,,47.5701900,19.7240000,NULL,HU_11_2333,Jászfényszaru,NULL,NULL,NULL
2348,Jászjákóhalma,,47.5203800,19.9908600,NULL,HU_11_2518,Jászjákóhalma,NULL,NULL,NULL
2349,Jászkisér,,47.4500000,20.2166700,NULL,HU_11_2279,Jászkisér,NULL,NULL,NULL
2350,Jászladány,,47.3666700,20.1666700,NULL,HU_11_2111,Jászladány,NULL,NULL,NULL
2351,Jászszentandrás,,47.5833300,20.1833300,NULL,HU_11_1351,Jászszentandrás,NULL,NULL,NULL
2352,Karcag,,47.3166700,20.9333300,NULL,HU_11_492,Karcag,NULL,NULL,NULL
2353,Kunhegyes,,47.3666700,20.6333300,NULL,HU_11_2256,Kunhegyes,NULL,NULL,NULL
2354,Mezőtúr,,47.0000000,20.6333300,NULL,HU_11_426,Mezőtúr,NULL,NULL,NULL
2355,Nagyrév,,46.9458100,20.1432200,NULL,HU_11_631,Nagyrév,NULL,NULL,NULL
2356,Öcsöd,,46.9000000,20.4000000,NULL,HU_11_2800,Öcsöd,NULL,NULL,NULL
2357,Fokorú-puszta,,47.2333300,20.2666700,NULL,HU_11_1130,Besenyszög,NULL,NULL,NULL
2358,Abony,,47.1899000,20.0047600,NULL,HU_14_2787,Abony,NULL,NULL,NULL
2360,Algyő,,46.3347200,20.2084900,NULL,HU_06_3424,Algyő,NULL,NULL,NULL
2361,"Bácskeresztúr (SRB)","Ruski Krstur",45.5639200,19.4200200,NULL,,,NULL,NULL,NULL
2362,Pusztamonostor,,47.5559000,19.7965700,NULL,HU_11_1524,Pusztamonostor,NULL,NULL,NULL
2363,Rákóczifalva,,47.0833300,20.2333300,NULL,HU_11_1420,Rákóczifalva,NULL,NULL,NULL
2364,Szajol,,47.1833300,20.3000000,NULL,HU_11_587,Szajol,NULL,NULL,NULL
2365,Szolnok,,47.1833300,20.2000000,NULL,HU_11_2785,Szolnok,NULL,NULL,NULL
2366,"Bácsordas (SRB)",Karavukovo,45.4982900,19.1941500,NULL,,,NULL,NULL,NULL
2367,Békéscsaba,,46.6833300,21.1000000,NULL,HU_03_1520,Békéscsaba,NULL,NULL,NULL
2368,Folyás,,47.8000000,21.1333300,NULL,HU_09_3401,Folyás,NULL,NULL,NULL
2369,"Bodrogszentmária (SK)","Svätá Mária",48.4332600,21.8390300,NULL,,,NULL,NULL,NULL
2370,Bökény,,46.1666700,20.6666700,NULL,HU_06_2155,Mindszent,NULL,NULL,NULL
2371,Bugac,,46.6666700,19.6666700,NULL,HU_01_3282,Bugac,NULL,NULL,NULL
2372,Buj,,48.1000000,21.6500000,NULL,HU_16_1970,Buj,NULL,NULL,NULL
2375,Csongrád,,46.7133200,20.1424100,NULL,HU_06_511,Csongrád,NULL,NULL,NULL
2377,Hortobágy,,47.5833300,21.0833300,NULL,HU_09_411,Hortobágy,NULL,NULL,NULL
2378,Tiszaföldvár,,46.9833300,20.2500000,NULL,HU_11_1381,Tiszaföldvár,NULL,NULL,NULL
2379,Tiszapüspöki,,47.2166700,20.3166700,NULL,HU_11_337,Tiszapüspöki,NULL,NULL,NULL
2380,Tiszaroff,,47.4000000,20.4500000,NULL,HU_11_2018,Tiszaroff,NULL,NULL,NULL
2381,Törökszentmiklós,,47.1833300,20.4166700,NULL,HU_11_2731,Törökszentmiklós,NULL,NULL,NULL
2382,Újszász,,47.3000000,20.0833300,NULL,HU_11_1529,Újszász,NULL,NULL,NULL
2383,Tószeg,,47.1000000,20.1500000,NULL,HU_11_749,Tószeg,NULL,NULL,NULL
2384,Kengyel,,47.0833300,20.3333300,NULL,HU_11_741,Kengyel,NULL,NULL,NULL
2385,Debrecen,,47.5316700,21.6244400,NULL,HU_09_1513,Debrecen,NULL,NULL,NULL
2386,Deszk,,46.2180200,20.2432200,NULL,HU_06_2407,Deszk,NULL,NULL,NULL
2387,"Detta (RO)",Deta,45.3888900,21.2244400,NULL,,,NULL,NULL,NULL
2388,Dubovac,Szerbia,44.7955300,21.2085600,NULL,,,NULL,NULL,NULL
2389,Dunaharaszti,,47.3545000,19.0982200,NULL,HU_14_958,Dunaharaszti,NULL,NULL,NULL
2390,Eger,,47.9026500,20.3732900,NULL,HU_10_2049,Eger,NULL,NULL,NULL
2391,Egres,Románia,46.1131300,20.7849600,NULL,,,NULL,NULL,NULL
2392,"Ernőháza (SRB)","Banatski Despotovac",45.3660600,20.6640700,NULL,,,NULL,NULL,NULL
2393,Érmihályfalva,"Románia
Yalea-lui-Mihai, Kom.Bihar",47.5166700,22.1500000,NULL,,,NULL,NULL,NULL
2394,Pusztaszer,,46.5508300,19.9882300,NULL,HU_06_2859,Pusztaszer,NULL,NULL,NULL
2395,Földeák,,46.3166700,20.5000000,NULL,HU_06_921,Földeák,NULL,NULL,NULL
2397,Gátér,,46.6789900,19.9610200,NULL,HU_01_2638,Gátér,NULL,NULL,NULL
2398,Egyek,,47.6333300,20.9000000,NULL,HU_09_1574,Egyek,NULL,NULL,NULL
2399,Nagyabony,Szlovákia,48.0111000,17.5792000,NULL,,,NULL,NULL,NULL
2400,"Gombos (SRB)",Bogojevo,45.5301500,19.1302200,NULL,,,NULL,NULL,NULL
2401,Hajdúsámson,,47.6000000,21.7666700,NULL,HU_09_3109,Hajdúsámson,NULL,NULL,NULL
2402,Harta,,46.6975800,19.0311000,NULL,HU_01_1845,Harta,NULL,NULL,NULL
2403,Boldog,,47.6028500,19.6883900,NULL,HU_10_345,Boldog,NULL,NULL,NULL
2404,Hernádpuszta,,47.6653300,19.4361000,NULL,HU_14_330,Iklad,NULL,NULL,NULL
2405,Hódmezővásárhely,,46.4166700,20.3333300,NULL,HU_06_831,Hódmezővásárhely,NULL,NULL,NULL
2406,Kardoskút,,46.4833300,20.6666700,NULL,HU_03_1217,Kardoskút,NULL,NULL,NULL
2407,Tura,,47.6092400,19.6027900,NULL,HU_14_959,Tura,NULL,NULL,NULL
2408,Törtel,,47.1220900,19.9371400,NULL,HU_14_2200,Törtel,NULL,NULL,NULL
2409,Tóalmás,,47.5078200,19.6665700,NULL,HU_14_2146,Tóalmás,NULL,NULL,NULL
2410,Felgyő,,46.6474100,20.1053000,NULL,HU_06_2264,Felgyő,NULL,NULL,NULL
2411,Jánoshida,,47.3833300,20.0666700,NULL,HU_11_2285,Jánoshida,NULL,NULL,NULL
2412,Kaba,,47.3500000,21.2833300,NULL,HU_09_230,Kaba,NULL,NULL,NULL
2413,Nagykárolyfalva,"Banatski Karlovcac (SRB)",45.0498700,21.0180000,NULL,,,NULL,NULL,NULL
2414,Kecel,,46.5252800,19.2519400,NULL,HU_01_1978,Kecel,NULL,NULL,NULL
2415,Kecskemét,,46.9061800,19.6912800,NULL,HU_01_2668,Kecskemét,NULL,NULL,NULL
2416,Perőcsény,,47.9934800,18.8573500,NULL,HU_14_418,Perőcsény,NULL,NULL,NULL
2417,Kétegyháza,,46.5333300,21.1833300,NULL,HU_03_346,Kétegyháza,NULL,NULL,NULL
2418,Kiskőrös,,46.6213900,19.2852800,NULL,HU_01_934,Kiskőrös,NULL,NULL,NULL
