,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated,comments
6,DY-1,DY-1-1,355,360.0,355,360.0,Julian,,AE4 (1.23g),1.0,Arelato,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
7,DY-1,DY-1-2,337,340.0,337,340.0,Constantine II,,AE3 (2.58g),1.0,Unknown,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
8,DY-1,DY-1-3,348,350.0,348,350.0,Constans,,AE2 (5.15g),1.0,Arelato,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,"Publication says ""Valente"", but description is of a coin of Constans."
9,DY-1,DY-1-4,333,335.0,333,335.0,Constantine I,,AE4 (1.23g),1.0,Unknown,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
10,DY-1,DY-1-5,392,395.0,392,395.0,Arcadius,,AE2 (5.15g),1.0,Cyzicus,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
11,DY-2,DY-2-1,704,712.0,704,712.0,,,dinar,1.0,Unknown,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,"Gaillard read the date as indiction II (85H); Balaguer suggests it might be indiction X (93H), which might make the mint SPAN rather than AFRC"
12,DY-3,DY-3-1,711,718.0,711,718.0,,,fals,1.0,Unknown (Iberian Peninsula),2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
13,DY-4,DY-4-1,699,699.0,699,699.0,,,fals,1.0,al-Qayrawan,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
14,DY-5,DY-5-1,708,712.0,708,712.0,,,fals,1.0,Tanja,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
15,DY-6,DY-6-1,716,716.0,716,716.0,,,dinar,1.0,al-Qayrawan,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,2021-08-09 16:28:22.368953,
