hoard_id,PAS_unique_hoard_id,name,startDate,endDate,hoard?,excavation?,single?,num_coins,year_found,year_end_found,comments,lat,long,certainty,owner,created,imported,updated,Tag_IDs,references
2,IARCH-DBFD86,PAS: Bath (Lansdown) 2,,,hoard,,,1,1905.0,1905.0,"""Mrs. D.P. Dobson, Arch. of Somerset (1931), 154, attributed a hoard, containing a coin of Arcadius, to Lansdown, Bath, but the coins found at Lansdown constituted, not a hoard, but a site find.<br />T.S. Bush, in PSA, (2), XXII (1907-9), 34; and JBAA, n.s., XII (1906), 289; giving date of discovery as 1905; and XIII (1907), 112, 251"" Robertson 2000, 1495A ******* Probably not a hoard. Stone moulds in Roman Baths Museum",51.43013,-2.3955,highest,PAS UK Finds,1/13/2015 11:57,35:43.4,5/26/2015 10:28,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   364 no. 1495A"
3,IARCH-1E8392,PAS: Bath (Bathwick Street Bridge) 3,,,hoard,excav,,,1826.0,1826.0,"Robertson 2000, 251 no. 1042:""A few days since, as the workmen were excavating the ground for the foundations of the New Bridge, at the bottom of Bathwick Street they discovered, about 10 feet below the surface, a metal pot containing about half a peck of Roman copper coins, many of them in excellent preservation: some of them bear the superscription of Constantine, and others are of a more ancient date. The pot that contained them was very much corroded. Mr. Goodridge, Lord Darlington's steward, being present when the discovery was made, took possession of the coins.""<br />-Gent. Mag., 1826, II, 160"" ******* Some gold and silver coins mentioned in one newspaper account.",51.38889,-2.3563,highest,PAS UK Finds,1/13/2015 11:57,35:44.1,5/26/2015 13:53,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   251 no. 1042"
4,IARCH-15228D,PAS: Newton Mills 4,,,hoard,,,255,1983.0,1983.0,"Robertson 2000, 358 no. 1474:""The hoard of 255 silver siliquae was found with a metal detector on 6 February 1983 in a hedgerow in Newton Mills Park, between Newton St Loe and Saltford, near Bath. There was no sign of any container. It was rumoured at the time that the find was not made near Bath, but at Stockton Earthworks, Wiltshire, and that it also contained about 40 solidi, a number of miliarenses and more siliquae, but police investigations revealed no evidence to support these rumours.""<br />The 255 siliquae were of the following emperors and mints:<br />Trier Lyons Arles Rome Aquileia Siscia Nicomedia Antio ch 0TOTAL<br />Constantius II 3 1 04<br />Constans 1 @ 01<br />Julian II, Aug. 4 1 2 07<br />Valentinian I 2 9 2 013<br />Valens 58 11 2 071<br />Gratian 53 1 4 5 1 064<br />Valentinian II 11 1 1 5 018<br />Theodosius I 10 1 3 1 015<br />Magnus Maximus 62 062<br />RULE 0RULE<br />201 4 5 25 13 2 1 4 0255<br />A.M. Burnett, in CHRB VII, BM Occas. Paper 59 (1987), 193-8, types, mints, wts., detailed discussion of sil. of Magnus Maximus, ills. of 10 sil. There were said to be 2 forgeries of sil.; 1 plated sil. of Valens, and 1 irregular copy of sil. of Theodosius. However, the nos. given for these 2 coins are apparently of sil. of Gratian, and Magnus Maximus.<br />10 sil. in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, 1984,0221.1 to 10)."" ******* Images in file. BM registration 1984,0221.1 to 10.",51.3833,-2.4181,highest,PAS UK Finds,1/13/2015 11:57,35:44.7,5/26/2015 10:32,,"Burnett, A.M., 1987    The Newton Mills, Bath, Treasure Trove    London:
   Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   358 no. 1474"
6,IARCH-9303E7,PAS: Bathford 6,,,hoard,,,,1691.0,1692.0,"Robertson 2000, 422 no. 1796:""About the same time [i.e. about 1691] were discovered two Roman altars and an urn filled with coins of that people.""<br />J. Collinson, Hist. and Ant. of Somerset (1791), I, 111 VCH Somerset, I (1911), 300, was misled by a reference in Gough's Camden (1806), I, 118, to the discovery of a mosaic pavement and hypocaust at Bathford, into stating that the urn of coins was found in a Roman villa.<br />Undated. """,51.39955,-2.3075,highest,PAS UK Finds,1/13/2015 11:57,35:46.1,5/26/2015 10:36,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   422 no. 1796"
10,IARCH-CB0ABA,PAS: Camerton 10,,,hoard,,,26,1814.0,1814.0,"Robertson 2000, 390 no. 1579:""At Camerton... three Roman villas were discovered in 1814 as well as a quantity (26) of silver Roman coins of Honorius, Arcadius, and the later Emperors, concealed between two Roman tiles.""<br />J.D. Phelps, Hist. and Ant. of Somerset (1836), I, 179<br />S. Archer, Late Roman Gold and Silver Hoards in Britain: A Gazetteer, in P.J. Casey ed. The End of Roman Britain, BAR 71 (1979), 36, no. 8, dated the discovery, wrongly, ""after 1841"". """,51.30405,-2.4489,highest,PAS UK Finds,1/13/2015 11:57,35:48.7,5/26/2015 10:55,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   390 no. 1579"
12,IARCH-3BB828,PAS: Chew Stoke (Pagan's Hill) 12,,,hoard,excav,,13,1957.0,1957.0,"Robertson 2000, 354 no. 1453:""During the excavation of the eastern buildings of the Temple at Pagan's Hill: ""32 coins were found in the Eastern buildings, most of which were found in robbers' spoil or under the rubble spread to the East. They included two radiates (one in the scattered hoard referred to below) and 8 Constantinian coins; the remainder are of the House of Valentinian and one of Theodosius. Among these are seven which, with three earlier coins, formed a small scattered hoard under the rubble East of Room 4 (Area 19).""<br />P.A. and M.H. Rahtz and L.G. Harris, in Proc. Somerset Arch. and Nat. Hist. Soc., CII (1957), 25<br />There followed a list of 13 coins, 2 ant. and 11 small AE, as being from a ""scattered hoard? under rubble outside outer wall, S. veranda"";<br />Ant. AE irregular radiates 2<br />reign of Constantine I 1<br />Constantinopolis 1<br />Constans, Aug. 1<br />Valentinian I 2<br />House of Valentinian I 6<br /><br />2 11 """,51.36072,-2.639,highest,PAS UK Finds,1/13/2015 11:57,35:50.1,5/26/2015 11:05,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   354 no. 1453"
14,IARCH-4096EB,PAS: East Harptree 14,,,hoard,,,1496,1887.0,1887.0,"Robertson 2000, <span>348 no. 1424:</span>""""The spot [i.e. where the hoard was found] is about a mile to the S.W. of the village of East Harptree, just to the west of the Frances Plantation, close to where the word 'spring' occurs on the six-inch Ordnance Map. A man named William Currell was engaged in the search for water, and his spade struck upon a pewter or white metal vessel, not more than five or six inches below the surface, which had already been broken into several pieces. It was, however, dug out from the ground, and was found to contain no less than 1496 silver coins, some cast silver ingots that had been cut into strips, and a silver ring set with an intaglio. The vessel has, so far as possible, been restored to its original form.<br />It may be described as bottle-shaped. In height it is about 9 1/4 inches, and 7 inches in greatest diameter, the base being 4 inches across. Since the woodcut was made, the neck of the vessel, about 1 1/2 inches in length, has been found by Mrs. Kettlewell. It is about 1 1/4 inches inside diameter, and shows traces of there having been a handle to the vessel..<br />The silver ring, of which also a woodcut is given, is of a not uncommon character, with the gem - a carnelian - projecting a considerable distance beyond the socket in which it is mounted. It presents the flattened oval opening for the finger so common in Roman rings. The gem has a figure of Mars bearing a trophy and spear engraved in intaglio upon it..<br />The pieces of cast silver are five in number, not counting a small fragment, which has probably been broken off from one of them. One is a small lenticular cake about 1 1/4 inch in diameter, which seems to have been run into a depression in clay or sand. It has an indentation from a chisel on its upper surface. Its weight is 516 grains.<br />Two of the other pieces are portions of another and large flat cake of silver about 2 1/2 inches in diameter, which has been cut into three by means of two parallel cuts with a chisel. Only the middle strip, which is about 5/8 inch wide, was present, and one of the outside segments. These weigh 248 and 806 grains respectively.<br />The other two pieces are segments of cakes of the same character; one of them about 2 1/2 inches long and 1 inch broad in the middle, weighs 818 grains; the other 2 1/4 inches long and 3/4 inch in extreme breadth, weighs 644 grains. This latter has had a small triangular piece chopped off from one end.""<br />The coins were 15 mil. and 1481 sil.:<br />Mil. Sil.<br />Constantine I 1<br />Constantius II, Aug. 7 333<br />Constans, Aug. 4<br />Decentius 1<br />Julian II 1 717<br />Jovian 1 7 Valentinian I 3 162<br />Valens 2 197<br />Gratian 60<br /><br />15 1481<br />(Aug.)<br />(62 Caes., 655 Aug., 1 b.?)<br />(Sir) John Evans, in NC, 1888, 22-46, types, mints, some wts., figs. of pewter jug and silver ring<br />(Sir) Arthur Evans, in NC, 1915, 454 n., types, mints, added 3 more mil. to this hoard, 2 of Valens and 1 of Valentinian I.<br />VCH Somerset, I (1906), 355, referred to 3 other mil., of Constantius Gallus, Valentinian and Valens, which, according to Prof. C. Oman, might have been strays from this hoard:<br />Cathy E. King, in BNJ, 51 (1981), 15, appeared to give nos. as 15 mil., 1481 sil., 6 den of C2, and 32 AR of C4, with a reference to NC, 1888. 18 sil. in Fitzwilliam Museum, Cambridge, from the Spenser George Perceval Bequest, 1920<br />Examined, 1978 (ASR)<br />16 sil. and one silver ""cake"" in City of Bristol Museum and Art Gallery.<br />The pewter vessel, and 68 coins were in East Harptree Parish Church.<br />Letter, 26 Sept. 1958, from Lt. Col. Kettlewell, Harptree Court<br />The rest of the coins, the silver pieces, and the silver ring, remained in private possession."" ******* NB the three miliarenses mentioned in VCH do not match the three miliarenses added by Sir Arthur Evans in NC 1915 (both accounts credit Prof. Oman so the total number of coins is unclear). Neither have been included here. Stolen from church in 1960s-70s. According to Coin Hoards VII, 171, some coins were sold by Lawrence Fine Art, Crewkerne, 26 March 1981 (lots 850 and 873 bought by Bristol City Museum). BM accession number for 25 coins: 1887,1206.1-25. It seems that 1922,0813.1-3 are from the same hoard, although the findspot is not recorded.",51.28758,-2.6455,highest,PAS UK Finds,1/13/2015 11:57,35:51.6,10/20/2016 10:21,,"Burnett, A.M. and Bendall, S., 1985    Roman and Byzantine Hoards      171, no. 325
Lewis, S.S., 1877    Roman coins found at Knapwell, near CambridgeRobertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   348 no. 1424"
15,IARCH-40B7DE,PAS: Kelston 15,,,hoard,,,2,1676.0,1676.0,"Robertson 2000, 336 no. 1375:""Kelston - copper coins of Constantine I and Valentinian I in grounds of John Harington (Guidott (1676), 68).""<br />VCH Somerset, I (1906), 363.""  ******* Kelston Manor House, now demolished. Two coins, probably not a hoard.",51.40032,-2.4355,highest,PAS UK Finds,1/13/2015 11:57,35:52.2,5/26/2015 11:08,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   336 no. 1375"
16,IARCH-AAB23A,PAS: Paulton 16,,,hoard,,,77,1956.0,1956.0,"Robertson 2000, 390 no. 1583:""A small hoard of seventy-seven clipped siliquae reputedly discovered at Paulton, included one Julian, one Jovian, fourteen Valens, ten Gratian, nine Valentinian II, five Theodosius, five Magnus Maximus, three Eugenius, nine Honorius, and ten either Arcadius or Honorius.""<br />JRS, XLVII (1957), 221"".Findspot uncertain; details came to light after the death of the finder. Photos of coins in BM file. ******* Clipped siliquae, photos available even though unpublished. Said to have been part of a larger hoard. Possibly found the hoard at Cheltenham (according to a witness at the inquest reported in the Bath &amp; Wilts Chronicle and Herald, 36/9/1956). Said to have been found in Paulton whilst a well was being dug and contained in a jar. The account is in any case unreliable. Purchased by the father of the owner before 1940.",51.3042,-2.48628,highest,PAS UK Finds,1/13/2015 11:57,35:52.9,5/26/2015 11:09,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   390 no. 1583"
19,IARCH-C268A4,PAS: Uncertain (Between Bath and Bristol) 19,,,hoard,,,250,1830.0,1840.0,"Robertson 2000, 361 no. 1486:""About 250 denarii [sic] have recently been found on the line of the Great Western Railway, somewhere between Bath and Bristol but the exact site we have as yet been unable to ascertain. Of about 150 which were permitted to be examined, the following particulars were obtained:- They are entirely of Valens, Gratian, and Magnus Maximus: and speaking in round numbers there may have been about an equal proportion of each. The reverses are as follows:- Valens, VRBS ROMA<br />VOT V MVLT X; Gratian, VRBS ROMA, VIRTVS ROMANORVM; Magnus Maximus, VIRTVS ROMANORVM. Two exceptions to the above were, CONCORDIA AVGGG<br />In exergue, TRPS."" NC, 1840, Miscellanea, 144, types, mints<br />In 1910, Dr. (later Sir) Arthur Evans presented 35 siliquae ""From a hoard found between Bath and Bristol 'many years ago'"" to Dept. of Coins and Medals, BM (BM Register of Coin Accessions, April 1910 (1910,0408.2-36)).<br />Sil.<br />Constantius II 2<br />Julian II 4<br />Jovian 2<br />Valentinian I 2<br />Valens 8<br />Gratian 5<br />Valentinian II 7<br />Theodosius 1<br />Magnus Maximus 2<br />Flavius Victor 1<br />Eugenius 1<br /><br />35<br />(1 Caes.)<br />Examined, 1948 (ASR)<br />A.M. Burnett, in CHRB II, BM Occas. Paper 31 (1981), 109-11, types, mints, wts."" ******* Note account in NC of 150 coins ""entirely"" of Valens, Gratian and Magnus Maximus is at odds with sample presented to BM.",51.35597,-2.4752,lower,PAS UK Finds,1/13/2015 11:57,35:55.0,5/26/2015 11:24,,"Burnett, A.M., 1981    The Great Western Railway hoard    London:   109-111
Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   361 no. 1486"
