,hoard_id,PAS_unique_hoard_id,coin_group_id,period,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated,comments,Tag_IDs
0,4,IARCH-15228D,257,ROMAN,,350.0,330.0,350.0,Constans,Constans I,siliqua,1,Colonia Augusta Treverorum,2021-04-16 16:54:57.623244,2021-04-16 16:54:57.623230,,,
1,4,IARCH-15228D,327,ROMAN,355.0,364.0,355.0,364.0,Constantius II,Constantius II,siliqua,3,Arelatum,2021-04-16 16:54:57.631005,2021-04-16 16:54:57.630995,,,
2,4,IARCH-15228D,328,ROMAN,355.0,364.0,355.0,364.0,Constantius II,Constantius II,siliqua,1,Nikomedia,2021-04-16 16:54:57.640365,2021-04-16 16:54:57.640354,,,
3,4,IARCH-15228D,329,ROMAN,361.0,363.0,361.0,363.0,Julian,Julian,siliqua,4,Colonia Augusta Treverorum,2021-04-16 16:54:57.649578,2021-04-16 16:54:57.649567,,,
4,4,IARCH-15228D,330,ROMAN,361.0,363.0,361.0,363.0,Julian,Julian,siliqua,1,Lugdunensium,2021-04-16 16:54:57.656869,2021-04-16 16:54:57.656858,,,
5,4,IARCH-15228D,331,ROMAN,361.0,363.0,361.0,363.0,Julian,Julian,siliqua,2,Arelatum,2021-04-16 16:54:57.663913,2021-04-16 16:54:57.663903,,,
6,4,IARCH-15228D,332,ROMAN,367.0,375.0,367.0,375.0,Valentinian I,Valentinian I,siliqua,2,Colonia Augusta Treverorum,2021-04-16 16:54:57.670971,2021-04-16 16:54:57.670960,,,
7,4,IARCH-15228D,333,ROMAN,364.0,367.0,364.0,367.0,Valentinian I,Valentinian I,siliqua,9,Roma,2021-04-16 16:54:57.677896,2021-04-16 16:54:57.677886,,,
8,4,IARCH-15228D,1801,ROMAN,367.0,375.0,367.0,375.0,Valentinian I,Valentinian I,siliqua,2,Antioch,2021-04-16 16:54:57.684891,2021-04-16 16:54:57.684880,,,
9,4,IARCH-15228D,1802,ROMAN,375.0,378.0,375.0,378.0,Valens,Valens,siliqua,58,Colonia Augusta Treverorum,2021-04-16 16:54:57.691912,2021-04-16 16:54:57.691902,,,
10,4,IARCH-15228D,1803,ROMAN,364.0,367.0,364.0,367.0,Valens,Valens,siliqua,11,Roma,2021-04-16 16:54:57.698870,2021-04-16 16:54:57.698860,,,
11,4,IARCH-15228D,1804,ROMAN,367.0,375.0,367.0,375.0,Valens,Valens,siliqua,2,Antioch,2021-04-16 16:54:57.705976,2021-04-16 16:54:57.705966,,,
12,4,IARCH-15228D,1805,ROMAN,367.0,383.0,367.0,383.0,Gratian,Gratian,siliqua,53,Colonia Augusta Treverorum,2021-04-16 16:54:57.715186,2021-04-16 16:54:57.715175,,,
13,4,IARCH-15228D,1806,ROMAN,378.0,383.0,378.0,383.0,Gratian,Gratian,siliqua,1,Lugdunensium,2021-04-16 16:54:57.723838,2021-04-16 16:54:57.723827,,,
14,4,IARCH-15228D,1807,ROMAN,375.0,383.0,375.0,383.0,Gratian,Gratian,siliqua,5,Aquileia,2021-04-16 16:54:57.730820,2021-04-16 16:54:57.730811,,,
15,4,IARCH-15228D,1808,ROMAN,378.0,383.0,378.0,383.0,Gratian,Gratian,siliqua,4,Roma,2021-04-16 16:54:57.737641,2021-04-16 16:54:57.737632,,,
16,4,IARCH-15228D,1809,ROMAN,375.0,378.0,375.0,378.0,Gratian,Gratian,siliqua,1,Siscia,2021-04-16 16:54:57.745896,2021-04-16 16:54:57.745886,,,
17,4,IARCH-15228D,1810,ROMAN,375.0,378.0,375.0,378.0,Valentinian II,Valentinian II,siliqua,11,Colonia Augusta Treverorum,2021-04-16 16:54:57.755070,2021-04-16 16:54:57.755059,,,
18,4,IARCH-15228D,1811,ROMAN,378.0,388.0,378.0,388.0,Valentinian II,Valentinian II,siliqua,1,Lugdunensium,2021-04-16 16:54:57.762683,2021-04-16 16:54:57.762674,,,
19,4,IARCH-15228D,1812,ROMAN,378.0,388.0,378.0,388.0,Valentinian II,Valentinian II,siliqua,5,Aquileia,2021-04-16 16:54:57.769732,2021-04-16 16:54:57.769722,,,
20,4,IARCH-15228D,1813,ROMAN,378.0,388.0,378.0,388.0,Valentinian II,Valentinian II,siliqua,1,Roma,2021-04-16 16:54:57.776710,2021-04-16 16:54:57.776699,,,
21,4,IARCH-15228D,1814,ROMAN,379.0,388.0,379.0,388.0,Theodosius I,Theodosius I,siliqua,10,Colonia Augusta Treverorum,2021-04-16 16:54:57.783627,2021-04-16 16:54:57.783618,,,
22,4,IARCH-15228D,1815,ROMAN,379.0,388.0,379.0,388.0,Theodosius I,Theodosius I,siliqua,1,Lugdunensium,2021-04-16 16:54:57.790647,2021-04-16 16:54:57.790637,,,
23,4,IARCH-15228D,1816,ROMAN,379.0,388.0,379.0,388.0,Theodosius I,Theodosius I,siliqua,3,Aquileia,2021-04-16 16:54:57.797547,2021-04-16 16:54:57.797537,,,
24,4,IARCH-15228D,1817,ROMAN,379.0,388.0,379.0,388.0,Theodosius I,Theodosius I,siliqua,1,Siscia,2021-04-16 16:54:57.804782,2021-04-16 16:54:57.804772,,,
25,4,IARCH-15228D,1818,ROMAN,383.0,388.0,383.0,388.0,Magnus Maximus,Magnus Maximus,siliqua,62,Colonia Augusta Treverorum,2021-04-16 16:54:57.812065,2021-04-16 16:54:57.812056,,,
26,10,IARCH-CB0ABA,288,ROMAN,,,378.0,408.0,House of Theodosius,House of Theodosius,siliqua,26,Unknown,2021-04-16 16:54:58.275856,2021-04-16 16:54:58.275842,,,
27,12,IARCH-3BB828,3118,ROMAN,,,306.0,337.0,Constantine I,Constantine I,AE 1-4 (UK find),1,Unknown,2021-04-16 16:54:58.743432,2021-04-16 16:54:58.743385,,,
28,12,IARCH-3BB828,3119,ROMAN,,,330.0,341.0,Constantinopolis,Constantinopolis,AE 1-4 (UK find),1,Unknown,2021-04-16 16:54:58.751906,2021-04-16 16:54:58.751896,,,
29,12,IARCH-3BB828,3120,ROMAN,,,330.0,350.0,Constans,Constans I,AE 1-4 (UK find),1,Unknown,2021-04-16 16:54:58.759618,2021-04-16 16:54:58.759608,,,
30,12,IARCH-3BB828,3121,ROMAN,,,364.0,375.0,Valentinian I,Valentinian I,AE 1-4 (UK find),2,Unknown,2021-04-16 16:54:58.767831,2021-04-16 16:54:58.767821,,,
31,12,IARCH-3BB828,3122,ROMAN,,,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),6,Unknown,2021-04-16 16:54:58.775774,2021-04-16 16:54:58.775761,,,
32,14,IARCH-4096EB,1829,ROMAN,335.0,336.0,335.0,336.0,Constantine I,Constantine I,siliqua,1,Thessalonika,2021-04-16 16:54:59.324209,2021-04-16 16:54:59.324195,,,
33,14,IARCH-4096EB,1830,ROMAN,,,330.0,350.0,Constans,Constans I,siliqua,3,Colonia Augusta Treverorum,2021-04-16 16:54:59.331990,2021-04-16 16:54:59.331980,,,
34,14,IARCH-4096EB,1831,ROMAN,,,330.0,350.0,Constans,Constans I,siliqua,1,Roma,2021-04-16 16:54:59.339228,2021-04-16 16:54:59.339217,,,
35,14,IARCH-4096EB,1832,ROMAN,,,337.0,361.0,Constantius II,Constantius II,miliarensis,6,Thessalonika,2021-04-16 16:54:59.349086,2021-04-16 16:54:59.349075,,,
36,14,IARCH-4096EB,1833,ROMAN,,,337.0,361.0,Constantius II,Constantius II,miliarensis,1,Arelatum,2021-04-16 16:54:59.358112,2021-04-16 16:54:59.358102,,,
37,14,IARCH-4096EB,1834,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,2,Colonia Augusta Treverorum,2021-04-16 16:54:59.365552,2021-04-16 16:54:59.365541,,,
38,14,IARCH-4096EB,1835,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,1,Thessalonika,2021-04-16 16:54:59.373096,2021-04-16 16:54:59.373085,,,
39,14,IARCH-4096EB,1836,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,163,Lugdunensium,2021-04-16 16:54:59.380126,2021-04-16 16:54:59.380116,,,
40,14,IARCH-4096EB,1837,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,2,Antioch,2021-04-16 16:54:59.387112,2021-04-16 16:54:59.387102,,,
41,14,IARCH-4096EB,1838,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,1,Nikomedia,2021-04-16 16:54:59.394091,2021-04-16 16:54:59.394082,,,
42,14,IARCH-4096EB,1839,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,2,Sirmium,2021-04-16 16:54:59.401217,2021-04-16 16:54:59.401207,,,
43,14,IARCH-4096EB,1840,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,156,Arelatum,2021-04-16 16:54:59.408194,2021-04-16 16:54:59.408184,,,
44,14,IARCH-4096EB,1841,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,5,Unknown,2021-04-16 16:54:59.416688,2021-04-16 16:54:59.416678,,,
45,14,IARCH-4096EB,1842,ROMAN,,,337.0,361.0,Constantius II,Constantius II,siliqua,1,Constantinople,2021-04-16 16:54:59.425866,2021-04-16 16:54:59.425856,,,
46,14,IARCH-4096EB,1843,ROMAN,,,350.0,353.0,Decentius,Decentius,miliarensis,1,Colonia Augusta Treverorum,2021-04-16 16:54:59.433317,2021-04-16 16:54:59.433308,,,
47,14,IARCH-4096EB,1844,ROMAN,,,360.0,363.0,Julian,Julian,miliarensis,1,Arelatum,2021-04-16 16:54:59.440511,2021-04-16 16:54:59.440499,,,
48,14,IARCH-4096EB,1845,ROMAN,,,360.0,363.0,Julian,Julian,siliqua,62,Arelatum,2021-04-16 16:54:59.447677,2021-04-16 16:54:59.447666,,,
49,14,IARCH-4096EB,1846,ROMAN,,,360.0,363.0,Julian,Julian,siliqua,285,Lugdunensium,2021-04-16 16:54:59.455197,2021-04-16 16:54:59.455187,,,
50,14,IARCH-4096EB,1847,ROMAN,,,360.0,363.0,Julian,Julian,siliqua,307,Arelatum,2021-04-16 16:54:59.462309,2021-04-16 16:54:59.462299,,,
