,hoard_id,name,startDate,endDate,type_find,hoard?,excavation?,single?,num_coins,num_known_coins,num_unknown_coins,year_found,year_end_found,comments,lat,long,certainty,owner,created,imported
0,2083,PAS: Newton Mills 4,383.0,388.0,EG_IARCH,hoard,,,255.0,255,0,1983.0,1983.0,"Robertson 2000, 358 no. 1474:""The hoard of 255 silver siliquae was found with a metal detector on 6 February 1983 in a hedgerow in Newton Mills Park, between Newton St Loe and Saltford, near Bath. There was no sign of any container. It was rumoured at the time that the find was not made near Bath, but at Stockton Earthworks, Wiltshire, and that it also contained about 40 solidi, a number of miliarenses and more siliquae, but police investigations revealed no evidence to support these rumours.""The 255 siliquae were of the following emperors and mints:Trier Lyons Arles Rome Aquileia Siscia Nicomedia Antio ch 0TOTALConstantius II 3 1 04Constans 1 @ 01Julian II, Aug. 4 1 2 07Valentinian I 2 9 2 013Valens 58 11 2 071Gratian 53 1 4 5 1 064Valentinian II 11 1 1 5 018Theodosius I 10 1 3 1 015Magnus Maximus 62 062RULE 0RULE201 4 5 25 13 2 1 4 0255A.M. Burnett, in CHRB VII, BM Occas. Paper 59 (1987), 193-8, types, mints, wts., detailed discussion of sil. of Magnus Maximus, ills. of 10 sil. There were said to be 2 forgeries of sil.; 1 plated sil. of Valens, and 1 irregular copy of sil. of Theodosius. However, the nos. given for these 2 coins are apparently of sil. of Gratian, and Magnus Maximus.10 sil. in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, 1984,0221.1 to 10).""",51.383299979981174,-2.418103749764641,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
1,193,PAS: Camerton 10,393.0,402.0,AC_Excavated,hoard,excav,,26.0,26,0,1814.0,1814.0,"""At Camerton three Roman villas were discovered in 1814 as well as 26 silver Roman coins, and the later Emperors, concealed between two Roman tiles."" J.D. Phelps, Hist. and Ant. of Somerset (1836), I, 179. S. Archer, Late Roman Gold and Silver Hoards in Britain: A Gazetteer, in P.J. Casey ed. The End of Roman Britain, BAR 71 (1979), 36, no. 8, dated the discovery, wrongly, ""after 1841"".",51.30405828958165,-2.4489414981360627,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
2,1553,PAS: Pewsey 12,395.0,402.0,EG_IARCH,hoard,,,32.0,32,0,2009.0,2012.0,2009 T233 (25 siliquae); 2010 T746 (2 siliquae); 2011 T545 (3) ; 2012 T421 (2 siliquae). NC 2010; NC 2011.Treasure numbers associated with this hoard: 2009 T233; 2010 T746; 2011 T545; 2012 T421Other PAS records associated with this hoard: WILT-9C29F2; WILT-8908F3; WILT-69C706; WILT-072864,51.304626064612364,-1.7374385629961804,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
3,248,PAS: Catsgore 14,337.0,341.0,AC_Excavated,hoard,excav,,28.0,28,0,1971.0,1972.0,"E.M. Besly listed 28 AE coins (Catsgore hoard B), in R. Leach, Excavations at Catsgore, 1970-74 (1982), 101, 104, incl. an add. coin of Constant.""",51.0354747549302,-2.7026242795191444,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
4,1999,PAS: East Harptree 15,367.0,378.0,EG_IARCH,hoard,,,1496.0,1496,0,1887.0,1887.0,"Robertson 2000, 348 no. 1424:""""The spot [i.e. where the hoard was found] is about a mile to the S.W. of the village of East Harptree, just to the west of the Frances Plantation, close to where the word 'spring' occurs on the six-inch Ordnance Map. A man named William Currell was engaged in the search for water, and his spade struck upon a pewter or white metal vessel, not more than five or six inches below the surface, which had already been broken into several pieces. It was, however, dug out from the ground, and was found to contain no less than 1496 silver coins, some cast silver ingots that had been cut into strips, and a silver ring set with an intaglio. The vessel has, so far as possible, been restored to its original form.It may be described as bottle-shaped. In height it is about 9? inches, and 7 inches in greatest diameter, the base being 4 inches across. Since the woodcut was made, the neck of the vessel, about 1? inches in length, has been found by Mrs. Kettlewell. It is about 1? inches inside diameter, and shows traces of there having been a handle to the vessel..The silver ring, of which also a woodcut is given, is of a not uncommon character, with the gem - a carnelian - projecting a considerable distance beyond the socket in which it is mounted. It presents the flattened oval opening for the finger so common in Roman rings. The gem has a figure of Mars bearing a trophy and spear engraved in intaglio upon it..The pieces of cast silver are five in number, not counting a small fragment, which has probably been broken off from one of them. One is a small lenticular cake about 1? inch in diameter, which seems to have been run into a depression in clay or sand. It has an indentation from a chisel on its upper surface. Its weight is 516 grains.Two of the other pieces are portions of another and large flat cake of silver about 2? inches in diameter, which has been cut into three by means of two parallel cuts with a chisel. Only the middle strip, which is about 5/8 inch wide, was present, and one of the outside segments. These weigh 248 and 806 grains respectively.The other two pieces are segments of cakes of the same character; one of them about 2? inches long and 1 inch broad in the middle, weighs 818 grains; the other 2? inches long and ? inch in extreme breadth, weighs 644 grains. This latter has had a small triangular piece chopped off from one end.""The coins were 15 mil. and 1481 sil.:Mil. Sil.Constantine I 1Constantius II, Aug. 7 333Constans, Aug. 4Decentius 1Julian II 1 717Jovian 1 7 Valentinian I 3 162Valens 2 197Gratian 6015 1481(Aug.)(62 Caes., 655 Aug., 1 b.?)(Sir) John Evans, in NC, 1888, 22-46, types, mints, some wts., figs. of pewter jug and silver ring(Sir) Arthur Evans, in NC, 1915, 454 n., types, mints, added 3 more mil. to this hoard, 2 of Valens and 1 of Valentinian I.VCH Somerset, I (1906), 355, referred to 3 other mil., of Constantius Gallus, Valentinian and Valens, which, according to Prof. C. Oman, might have been strays from this hoard:Cathy E. King, in BNJ, 51 (1981), 15, appeared to give nos. as 15 mil., 1481 sil., 6 den of C2, and 32 AR of C4, with a reference to NC, 1888. 18 sil. in Fitzwilliam Museum, Cambridge, from the Spenser George Perceval Bequest, 1920Examined, 1978 (ASR)16 sil. and one silver ""cake"" in City of Bristol Museum and Art Gallery.The pewter vessel, and 68 coins were in East Harptree Parish Church.Letter, 26 Sept. 1958, from Lt. Col. Kettlewell, Harptree CourtThe rest of the coins, the silver pieces, and the silver ring, remained in private possession.""",51.28758327064791,-2.645521951635334,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
5,1971,PAS: Paulton 16,393.0,402.0,EG_IARCH,hoard,,,77.0,77,0,1956.0,,"Robertson 2000, 390 no. 1583:""A small hoard of seventy-seven clipped siliquae reputedly discovered at Paulton, included one Julian, one Jovian, fourteen Valens, ten Gratian, nine Valentinian II, five Theodosius, five Magnus Maximus, three Eugenius, nine Honorius, and ten either Arcadius or Honorius.""JRS, XLVII (1957), 221"".Findspot uncertain; details came to light after the death of the finder. Photos of coins in BM file.",51.307522379721,-2.50250024995706,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
6,1425,PAS: Uncertain (Between Bath and Bristol) 19,392.0,394.0,EG_IARCH,hoard,,,250.0,35,215,1830.0,1840.0,"Robertson 2000, 361 no. 1486:""About 250 denarii [sic] have recently been found on the line of the Great Western Railway, somewhere between Bath and Bristol but the exact site we have as yet been unable to ascertain. Of about 150 which were permitted to be examined, the following particulars were obtained:- They are entirely of Valens, Gratian, and Magnus Maximus: and speaking in round numbers there may have been about an equal proportion of each. The reverses are as follows:- Valens, VRBS ROMAVOT V MVLT X; Gratian, VRBS ROMA, VIRTVS ROMANORVM; Magnus Maximus, VIRTVS ROMANORVM. Two exceptions to the above were, CONCORDIA AVGGGIn exergue, TRPS."" NC, 1840, Miscellanea, 144, types, mintsIn 1910, Dr. (later Sir) Arthur Evans presented 35 siliquae ""From a hoard found between Bath and Bristol 'many years ago'"" to Dept. of Coins and Medals, BM (BM Register of Coin Accessions, April 1910 (1910,0408.2-36)).Sil.Constantius II 2Julian II 4Jovian 2Valentinian I 2Valens 8Gratian 5Valentinian II 7Theodosius 1Magnus Maximus 2Flavius Victor 1Eugenius 135(1 Caes.)Examined, 1948 (ASR)A.M. Burnett, in CHRB II, BM Occas. Paper 31 (1981), 109-11, types, mints, wts.""",55.8932713570366,-3.69284843162858,lower,PAS UK Finds,,2017-08-28 08:25:10.122193
7,1588,PAS: Tower 22,404.0,408.0,EG_IARCH,hoard,,,3.0,3,0,1777.0,1777.0,"Robertson 2000, 386 no. 1565:""29 Jan. 1778""The ingot of silver which I have now the honour to exhibit to the Society, is a most singular curiosity, and was discovered in the month of September last, on digging for the foundations of a new office for the Board of Ordnance in the Tower; where, having sunk to a great depth, and broken through foundations of ancient buildings, it was found on the natural ground, and, as it is supposed, even below the level of the present bed of the river. In the same place were found three gold coins, or aurei; one of the Emperor Honorius, and two of Arcadius.The piece of silver, in the form of a double wedge, is 4 inches long, 2 inches and 3/4 broad in the broadest part, 1 3/4 in the narrowest, and 3/8 of an inch thick in the middle. It was probably cast at first in a square or oblong form, but has since been beaten into a broader super-ficies, and sharpened towards the extremities, where the strokes of the hammer are plainly visible. In the center of its area is impressed, in Roman letters, an inscription in two lines.""EX OFFICHONORIIThe 3 gold coins, solidi, had as rev. types VICTORIA AVGGG. The 2 of Arcadius had m/ms. M/D, and A/M, and that of Honorius M/DCOMOB COMOB COMOB.Dr. J. Milles, in Ms. Min. Soc. Ant., XV (1776-8), 356, 360-7; and in Arch., V (1779), 291-305, pl. XXV, figs. of coins and silver ingotThe ingot is in Dept. of Prehistoric and Romano-British Antiquities, BM. The correct reading of the inscription on it seems to be EX OFFE HONORINI(Sir) Arthur Evans, in NC, 1915, 509; Cp. K.S. Painter, in JBAA, (3), XXVIII (1965), 12, no. 5; and in Ant. J., 52 (1972), 87, no. 9; J.P.C. Kent and K.S. Painter, Wealth of the Roman World (1977), 26, no. 14.""",51.507645105246205,-0.07632700253676036,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
8,1572,PAS: Kempston 24,395.0,402.0,EG_IARCH,hoard,,,13.0,13,0,1978.0,1978.0,"Robertson 2000, 368 no. 1513:""""On 27 August 1978 a small hoard of thirteen Roman silver coins of the late fourth century was found in a copse at the edge of a road leading to Kempston Church..Despite the small quantity of coins and the absence of any container (it may have been of leather or cloth which had perished), the coins form a coherent group which appears to have been a hoard. Most finds of late Roman silver consist primarily of siliquae with the addition of a small number of miliarenses, but the present find of eleven miliarenses and only two siliquae is unusual.""The list of 11 mil. and 2 sil. was given according to mints.R.A.G. Carson, in CHRB I, BM Occas. Paper 5 (1979), 105, types, mints, wts.The 11 mil. and 2 sil. have been rearranged according to emperors:Mil. Sil. TOTALValens 3 3Gratian 4 4Valentinian II 4 4Arcadius 1 1Honorius 1 111 2 131 mil. of Valentinian II, mint Siscia, in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, Sept. 1979)1 mil. of Valens, mint Trier, in Bedford Museum.""",52.120108445754134,-0.5189449273448382,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
9,2079,PAS: Kempston 25,383.0,388.0,EG_IARCH,hoard,,,53.0,53,0,1976.0,1976.0,"Robertson 2000, 357-8 no. 1470:""""On 27 October 1976 two workmen found a small hoard of Roman fourth century silver siliquae in a trench on a building site at Hillgrounds, Kempston, Bedfordshire. The coins were found closely grouped together, but there was no trace of a container. A coroner's inquest declared the find to be a treasure trove. The hoard includes coins from Constantius II to Magnus Maximus, covering the period from about AD 360 to 388.""Then came a list of the 53 sil. according to mints.R.A.G. Carson, in CHRB I, BM Occas. Paper 5 (1979), 103f., types, mints, wts.The 53 sil. have been rearranged according to emperors:Sil.Constantius II 2Julian II, Caes. 1Julian II, Aug. 11Valentinian I 2Valens 16Gratian 8Valentinian II 3Theodosius I 4Magnus Maximus 653(1 b.)3 sil. of Julian II, Aug. (b.), Gratian and Valentinian II, in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, March 1977)50 sil. in Bedford Museum. """,52.12258331827175,-0.5013342041994507,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
