,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
3,3020,19070,337.0,,337.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),7.0,,2017-08-28 08:25:10.162802,2015-02-11T13:14:54Z,
4,3020,19071,,,302.0,402.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-02-11T13:15:12Z,2015-02-11T13:16:04Z
5,3119,26982,364.0,367.0,364.0,367.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),24.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:14Z,
6,3119,26983,367.0,375.0,367.0,375.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),87.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:32Z,
7,3119,26984,375.0,378.0,375.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),4.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:51Z,
8,3119,26985,378.0,383.0,378.0,383.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2016-02-02T11:28:08Z,
9,3119,26986,364.0,383.0,364.0,383.0,"Nummus, uncertain ruler, c. 330-402",Unknown,AE 1-4 (UK find),13.0,,2017-08-28 08:25:10.162802,2016-02-02T11:28:40Z,
28,3049,19871,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),18.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-03-11T12:10:08Z,2015-03-11T12:10:54Z
29,3049,19872,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),7.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-03-11T12:10:47Z,
30,3049,19873,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),4.0,Arelato,2017-08-28 08:25:10.162802,2015-03-11T12:11:25Z,
31,3049,19874,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,Roma,2017-08-28 08:25:10.162802,2015-03-11T12:11:45Z,
32,3049,19875,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),18.0,,2017-08-28 08:25:10.162802,2015-03-11T12:12:09Z,
33,3049,19876,341.0,348.0,341.0,348.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-03-11T12:12:52Z,
34,3049,19877,341.0,348.0,341.0,348.0,House of Constantine,House of Constantine,AE 1-4 (UK find),8.0,,2017-08-28 08:25:10.162802,2015-03-11T12:13:19Z,
35,3049,19878,348.0,350.0,348.0,350.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-03-11T12:13:44Z,
36,3049,19879,348.0,350.0,348.0,350.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,Thessalonika,2017-08-28 08:25:10.162802,2015-03-11T12:14:13Z,
37,3049,19880,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-03-11T12:14:32Z,
38,3049,19881,355.0,361.0,355.0,361.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-03-11T12:14:53Z,
39,3049,19882,337.0,340.0,337.0,340.0,Constantine II,Constantine II,miliarensis,1.0,Thessalonika,2017-08-28 08:25:10.162802,2015-03-11T13:37:59Z,
40,3049,19883,350.0,353.0,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),1.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-03-11T13:41:40Z,
41,3049,19884,350.0,353.0,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-03-11T13:42:01Z,
42,3049,19885,355.0,363.0,355.0,363.0,Julian,Julian,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-03-11T13:42:24Z,2015-03-11T13:42:41Z
43,3049,19886,363.0,364.0,363.0,364.0,Jovian,Jovian,AE 1-4 (UK find),1.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-03-11T13:43:09Z,
44,3049,19887,364.0,375.0,364.0,375.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),3.0,Arelato,2017-08-28 08:25:10.162802,2015-03-11T13:49:45Z,2015-03-11T13:50:42Z
45,3049,19888,364.0,375.0,364.0,375.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-03-11T13:52:22Z,
46,3049,19889,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),3.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-03-11T13:52:45Z,
47,3049,19890,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),5.0,Arelato,2017-08-28 08:25:10.162802,2015-03-11T13:53:09Z,
48,3049,19891,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),3.0,Aquileia,2017-08-28 08:25:10.162802,2015-03-11T13:53:58Z,
49,3049,19892,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),4.0,Siscia,2017-08-28 08:25:10.162802,2015-03-11T13:54:26Z,
50,3049,19893,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),13.0,,2017-08-28 08:25:10.162802,2015-03-11T13:54:47Z,
51,3049,19894,378.0,383.0,378.0,383.0,Gratian,Gratian,AE 1-4 (UK find),1.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-03-11T13:55:11Z,
52,3049,19895,388.0,392.0,388.0,392.0,Valentinian II,Valentinian II,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-03-11T13:56:22Z,
53,3049,19896,388.0,395.0,388.0,395.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),1.0,Arelato,2017-08-28 08:25:10.162802,2015-03-11T13:57:36Z,
54,3049,19897,388.0,395.0,388.0,395.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),4.0,,2017-08-28 08:25:10.162802,2015-03-11T13:58:02Z,
55,3049,19898,355.0,,355.0,402.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),39.0,,2017-08-28 08:25:10.162802,2015-03-11T14:00:24Z,
73,3156,23543,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:25Z,
74,3156,23544,,,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:34Z,
75,3156,23545,,,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),19.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:46Z,
76,3156,23546,,,367.0,383.0,Gratian,Gratian,AE 1-4 (UK find),10.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:57Z,
80,3103,21117,,,260.0,402.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),2.0,,2017-08-28 08:25:10.162802,2015-04-29T15:34:50Z,
81,1235,24009,,340.0,307.0,340.0,House of Constantine,House of Constantine,AE 1-4 (UK find),5.0,,2017-08-28 08:25:10.162802,2015-08-03T15:20:19Z,2015-08-03T15:21:34Z
82,1235,24010,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-08-03T15:20:33Z,
83,1390,4006,388.0,392.0,388.0,392.0,Theodosius I,Theodosius I,solidus,1.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
84,1390,4007,388.0,393.0,388.0,393.0,Arcadius,Arcadius,siliqua,1.0,Mediolanum,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
85,1390,4008,393.0,402.0,393.0,402.0,House of Theodosius,House of Theodosius,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
86,1390,4009,393.0,402.0,393.0,402.0,Honorius (emperor),Honorius,siliqua,1.0,Mediolanum,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
87,1390,4010,367.0,378.0,367.0,378.0,House of Valentinian,House of Valentinian,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
88,1390,4011,393.0,402.0,393.0,402.0,Honorius (emperor),Honorius,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
89,1390,4012,393.0,402.0,393.0,402.0,House of Theodosius,House of Theodosius,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-01-15T16:48:54Z,
166,959,23321,324.0,341.0,324.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-20T09:46:02Z,2015-07-20T09:47:04Z
167,959,23322,,361.0,302.0,361.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-07-20T09:46:41Z,2015-07-20T09:47:17Z
168,959,23323,,,364.0,375.0,Valentinian I,Valentinian I,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-20T09:47:34Z,
