,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
5,3119,26982,364.0,367.0,364.0,367.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),24.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:14Z,
6,3119,26983,367.0,375.0,367.0,375.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),87.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:32Z,
7,3119,26984,375.0,378.0,375.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),4.0,,2017-08-28 08:25:10.162802,2016-02-02T11:27:51Z,
8,3119,26985,378.0,383.0,378.0,383.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2016-02-02T11:28:08Z,
9,3119,26986,364.0,383.0,364.0,383.0,"Nummus, uncertain ruler, c. 330-402",Unknown,AE 1-4 (UK find),13.0,,2017-08-28 08:25:10.162802,2016-02-02T11:28:40Z,
73,3156,23543,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:25Z,
74,3156,23544,,,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:34Z,
75,3156,23545,,,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),19.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:46Z,
76,3156,23546,,,367.0,383.0,Gratian,Gratian,AE 1-4 (UK find),10.0,,2017-08-28 08:25:10.162802,2015-07-23T13:15:57Z,
81,1235,24009,,340.0,307.0,340.0,House of Constantine,House of Constantine,AE 1-4 (UK find),5.0,,2017-08-28 08:25:10.162802,2015-08-03T15:20:19Z,2015-08-03T15:21:34Z
82,1235,24010,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-08-03T15:20:33Z,
166,959,23321,324.0,341.0,324.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-20T09:46:02Z,2015-07-20T09:47:04Z
167,959,23322,,361.0,302.0,361.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-07-20T09:46:41Z,2015-07-20T09:47:17Z
168,959,23323,,,364.0,375.0,Valentinian I,Valentinian I,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-20T09:47:34Z,
169,959,23324,,,379.0,395.0,Theodosius I,Theodosius I,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-20T09:47:46Z,
170,959,23325,,,383.0,388.0,Magnus Maximus,Magnus Maximus,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-20T09:47:56Z,
171,959,23326,,,395.0,408.0,Arcadius,Arcadius,AE 1-4 (UK find),10.0,,2017-08-28 08:25:10.162802,2015-07-20T09:48:14Z,
172,959,23327,,,395.0,423.0,Honorius (emperor),Honorius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-20T09:48:26Z,
173,959,23328,,,378.0,408.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),15.0,,2017-08-28 08:25:10.162802,2015-07-20T09:48:46Z,
174,959,23329,,,330.0,402.0,"Nummus, uncertain ruler, c. 330-402",Unknown,AE 1-4 (UK find),57.0,,2017-08-28 08:25:10.162802,2015-07-20T09:49:04Z,
